temperature	V(ntc)
2.000000000000000e+01	5.971804e-01
2.010000000000002e+01	5.963041e-01
2.020000000000005e+01	5.954254e-01
2.030000000000007e+01	5.945465e-01
2.040000000000009e+01	5.936672e-01
2.050000000000011e+01	5.927876e-01
2.060000000000014e+01	5.919077e-01
2.070000000000016e+01	5.910275e-01
2.080000000000018e+01	5.901470e-01
2.090000000000020e+01	5.892661e-01
2.100000000000023e+01	5.883850e-01
2.110000000000025e+01	5.875036e-01
2.120000000000027e+01	5.866219e-01
2.130000000000030e+01	5.857400e-01
2.140000000000032e+01	5.848578e-01
2.150000000000034e+01	5.839753e-01
2.160000000000036e+01	5.830925e-01
2.170000000000039e+01	5.822095e-01
2.180000000000041e+01	5.813262e-01
2.190000000000043e+01	5.804427e-01
2.200000000000045e+01	5.795589e-01
2.210000000000048e+01	5.786749e-01
2.220000000000050e+01	5.777907e-01
2.230000000000052e+01	5.769063e-01
2.240000000000055e+01	5.760216e-01
2.250000000000057e+01	5.751367e-01
2.260000000000059e+01	5.742517e-01
2.270000000000061e+01	5.733663e-01
2.280000000000064e+01	5.724809e-01
2.290000000000066e+01	5.715952e-01
2.300000000000068e+01	5.707093e-01
2.310000000000070e+01	5.698233e-01
2.320000000000073e+01	5.689371e-01
2.330000000000075e+01	5.680507e-01
2.340000000000077e+01	5.671641e-01
2.350000000000080e+01	5.662774e-01
2.360000000000082e+01	5.653906e-01
2.370000000000084e+01	5.645036e-01
2.380000000000086e+01	5.636164e-01
2.390000000000089e+01	5.627291e-01
2.400000000000091e+01	5.618417e-01
2.410000000000093e+01	5.609541e-01
2.420000000000095e+01	5.600664e-01
2.430000000000098e+01	5.591787e-01
2.440000000000100e+01	5.582907e-01
2.450000000000102e+01	5.574027e-01
2.460000000000105e+01	5.565146e-01
2.470000000000107e+01	5.556264e-01
2.480000000000109e+01	5.547381e-01
2.490000000000111e+01	5.538497e-01
2.500000000000114e+01	5.529757e-01
2.510000000000116e+01	5.520623e-01
